Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,Date_only,fin_pos,fin_neg,fin_neu,tweet_count
2021-09-30,143.66000366210938,144.3800048828125,141.27999877929688,141.5,140.47848510742188,89056700,AAPL,2021-09-30,5.094928380101919,0.9698793414419953,0.9351920261380542,7.0
2021-10-01,141.89999389648438,142.9199981689453,139.11000061035156,142.64999389648438,141.6201629638672,94639600,AAPL,2021-10-01,8.168377487658777,1.0021933306250794,1.829429349605217,11.0
2021-10-04,141.75999450683594,142.2100067138672,138.27000427246094,139.13999938964844,138.13551330566406,98322000,AAPL,2021-10-04,7.671400939587329,1.179448390390796,1.1491503952198343,10.0
2021-10-05,139.49000549316406,142.24000549316406,139.36000061035156,141.11000061035156,140.09127807617188,80861100,AAPL,2021-10-05,4.928896427154541,0.07070244532980752,0.0004010889961136854,5.0
2021-10-06,139.47000122070312,142.14999389648438,138.3699951171875,142.0,140.97486877441406,83221100,AAPL,2021-10-06,8.772581684974284,1.0088434884459012,0.2185748869865165,10.0
2021-10-07,143.05999755859375,144.22000122070312,142.72000122070312,143.2899932861328,142.25555419921875,61732700,AAPL,2021-10-07,6.337550796922187,1.225268647519158,0.4371805501804147,8.0
2021-10-08,144.02999877929688,144.17999267578125,142.55999755859375,142.89999389648438,141.8683624267578,58773200,AAPL,2021-10-08,5.991585538189895,1.0020269056401396,0.006387468346623848,7.0
2021-10-11,142.27000427246094,144.80999755859375,141.80999755859375,142.80999755859375,141.7790069580078,64452200,AAPL,2021-10-11,1.993717074394226,0.004913445613567546,0.001369603148987153,2.0
2021-10-12,143.22999572753906,143.25,141.0399932861328,141.50999450683594,140.4884033203125,73035900,AAPL,2021-10-12,14.677471639110792,1.093907453058847,7.228620598769368,23.0
2021-10-13,141.24000549316406,141.39999389648438,139.1999969482422,140.91000366210938,139.8927459716797,78762700,AAPL,2021-10-13,2.0001802303004297,0.9998382168860829,1.999981541320608,5.0
2021-10-14,142.11000061035156,143.8800048828125,141.50999450683594,143.75999450683594,142.72216796875,69907100,AAPL,2021-10-14,10.984909188568455,3.997491502678983,0.01759898860124398,15.0
2021-10-15,143.77000427246094,144.89999389648438,143.50999450683594,144.83999633789062,143.7943572998047,67940300,AAPL,2021-10-15,4.4086265569033,2.5033429465979253,0.08803034055608805,7.0
2021-10-18,143.4499969482422,146.83999633789062,143.16000366210938,146.5500030517578,145.4920196533203,85589200,AAPL,2021-10-18,15.223024853954744,5.7176671935174,2.0593079887583343,23.0
2021-10-19,147.00999450683594,149.1699981689453,146.5500030517578,148.75999450683594,147.6860809326172,76378900,AAPL,2021-10-19,9.996418977226895,4.000512379631687,0.0030684457272833754,14.0
2021-10-20,148.6999969482422,149.75,148.1199951171875,149.25999450683594,148.18246459960938,58418800,AAPL,2021-10-20,5.613383158439966,2.9744055158078595,1.412211382379124,10.0
2021-10-21,148.80999755859375,149.63999938964844,147.8699951171875,149.47999572753906,148.40087890625,61421000,AAPL,2021-10-21,9.463397324085236,0.002356551928698991,0.5342459434286866,10.0
2021-10-22,149.69000244140625,150.17999267578125,148.63999938964844,148.69000244140625,147.6165771484375,58883400,AAPL,2021-10-22,8.421425415352587,0.5723270759885892,1.0062473444669138,10.0
2021-10-25,148.67999267578125,149.3699951171875,147.6199951171875,148.63999938964844,147.5669403076172,50720600,AAPL,2021-10-25,8.81447234749794,0.5662666711813813,0.6192608511807975,10.0
2021-10-26,149.3300018310547,150.83999633789062,149.00999450683594,149.32000732421875,148.2420196533203,60893400,AAPL,2021-10-26,6.8243058492662385,1.0728550352243644,1.1028393522041142,9.0
2021-10-27,149.36000061035156,149.72999572753906,148.49000549316406,148.85000610351562,147.77542114257812,56094900,AAPL,2021-10-27,9.99751483183968,3.9933483756352643,0.009136709507629348,14.0
2021-10-28,149.82000732421875,153.1699981689453,149.72000122070312,152.57000732421875,151.46856689453125,100077900,AAPL,2021-10-28,22.77730766794975,2.2540545500132794,3.9686378489303706,29.0
2021-10-29,147.22000122070312,149.94000244140625,146.41000366210938,149.8000030517578,148.71856689453125,124953200,AAPL,2021-10-29,16.578041598746562,11.386876509966953,2.0350817101581944,30.0
2021-11-01,148.99000549316406,149.6999969482422,147.8000030517578,148.9600067138672,147.8846435546875,74588300,AAPL,2021-11-01,7.795242060662076,1.2035550280097738,0.0012028800691155084,9.0
